0,allowed_discounted_price,discounted_amount,product_id,product_name_x,qty,sale_date,sales_id,sub_total,unit_selling_price (after_discount)
sales_id,,,,,,,,,
sale_date,,,,,,,,,
product_id,,,,,,,,,
product_name,,,,,,,,,
unit_selling_price (after_discount),,,,,,,,,
qty,,,,,,,,,
sub_total,,,,,,,,,
discounted_amount,,,,,,,,,
allowed_discounted_price,,,,,,,,,
,42.5,62.5,502.0,Nike Men's Dri-FIT Victory Golf Polo,5.0,25-07-2013 00:00,3.0,187.5,37.5
,50.99,70.0,365.0,Perfect Fitness Perfect Rip Deck,5.0,25-07-2013 00:00,6.0,229.95,45.99
,44.98,40.0,1014.0,O'Brien Men's Neoprene Life Vest,4.0,25-07-2013 00:00,8.0,159.92,39.98
,50.99,70.0,365.0,Perfect Fitness Perfect Rip Deck,5.0,25-07-2013 00:00,10.0,229.95,45.99
,15.19,29.0,926.0,Glove It Imperial Golf Towel,5.0,25-07-2013 00:00,16.0,50.95,10.19
,50.99,70.0,365.0,Perfect Fitness Perfect Rip Deck,5.0,25-07-2013 00:00,18.0,229.95,45.99
,44.98,40.0,1014.0,O'Brien Men's Neoprene Life Vest,4.0,25-07-2013 00:00,19.0,159.92,39.98
,35.99,36.0,627.0,Under Armour Girls' Toddler Spine Surge Runni,4.0,25-07-2013 00:00,30.0,123.96,30.99
,84.99,80.0,191.0,Nike Men's Free 5.0+ Running Shoe,4.0,25-07-2013 00:00,32.0,319.96,79.99
,44.98,50.0,1014.0,O'Brien Men's Neoprene Life Vest,5.0,25-07-2013 00:00,33.0,199.9,39.98
,22.5,30.0,134.0,Nike Women's Legend V-Neck T-Shirt,4.0,25-07-2013 00:00,35.0,70.0,17.5
,84.99,100.0,191.0,Nike Men's Free 5.0+ Running Shoe,5.0,25-07-2013 00:00,37.0,399.95,79.99
,42.5,62.5,502.0,Nike Men's Dri-FIT Victory Golf Polo,5.0,25-07-2013 00:00,38.0,187.5,37.5
,28.79,32.8,276.0,Under Armour Women's Ignite Slide,4.0,25-07-2013 00:00,39.0,95.16,23.79
,50.99,70.0,365.0,Perfect Fitness Perfect Rip Deck,5.0,25-07-2013 00:00,49.0,229.95,45.99
,18.99,24.0,810.0,Glove It Women's Mod Oval Golf Glove,4.0,25-07-2013 00:00,50.0,55.96,13.989999999999998
,50.99,56.0,365.0,Perfect Fitness Perfect Rip Deck,4.0,25-07-2013 00:00,54.0,183.96,45.99
,42.5,62.5,502.0,Nike Men's Dri-FIT Victory Golf Polo,5.0,25-07-2013 00:00,60.0,187.5,37.5
,44.98,40.0,1014.0,O'Brien Men's Neoprene Life Vest,4.0,25-07-2013 00:00,61.0,159.92,39.98
,50.99,70.0,365.0,Perfect Fitness Perfect Rip Deck,5.0,25-07-2013 00:00,63.0,229.95,45.99
,28.79,32.8,276.0,Under Armour Women's Ignite Slide,4.0,25-07-2013 00:00,65.0,95.16,23.79
