product_id,product_category_id,product_name,product_selling_price,product_category_name,product_cost_price,product_max_discount,allowed_discounted_price
1,2,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.98,Soccer,35.99,15,50.98
2,2,Under Armour Men's Highlight MC Football Clea,129.99,Soccer,77.99,20,103.99
3,2,Under Armour Men's Renegade D Mid Football Cl,89.99,Soccer,53.99,15,76.49
4,2,Under Armour Men's Renegade D Mid Football Cl,89.99,Soccer,53.99,15,76.49
5,2,Riddell Youth Revolution Speed Custom Footbal,199.99,Soccer,119.99,20,159.99
6,2,Jordan Men's VI Retro TD Football Cleat,134.99,Soccer,80.99,20,107.99
7,2,Schutt Youth Recruit Hybrid Custom Football H,99.99,Soccer,59.99,15,84.99
8,2,Nike Men's Vapor Carbon Elite TD Football Cle,129.99,Soccer,77.99,20,103.99
9,2,Nike Adult Vapor Jet 3.0 Receiver Gloves,50.0,Soccer,30.0,15,42.5
10,2,Under Armour Men's Highlight MC Football Clea,129.99,Soccer,77.99,20,103.99
11,2,Fitness Gear 300 lb Olympic Weight Set,209.99,Soccer,125.99,20,167.99
12,2,Under Armour Men's Highlight MC Alter Ego Fla,139.99,Soccer,83.99,20,111.99
13,2,Under Armour Men's Renegade D Mid Football Cl,89.99,Soccer,53.99,15,76.49
14,2,Quik Shade Summit SX170 10 FT. x 10 FT. Canop,199.99,Soccer,119.99,20,159.99
15,2,Under Armour Kids' Highlight RM Alter Ego Sup,59.99,Soccer,35.99,15,50.99
16,2,Riddell Youth 360 Custom Football Helmet,299.99,Soccer,179.99,20,239.99
17,2,Under Armour Men's Highlight MC Football Clea,129.99,Soccer,77.99,20,103.99
18,2,Reebok Men's Full Zip Training Jacket,29.97,Soccer,17.98,10,26.97
19,2,Nike Men's Fingertrap Max Training Shoe,124.99,Soccer,74.99,20,99.99
20,2,Under Armour Men's Highlight MC Football Clea,129.99,Soccer,77.99,20,103.99
21,2,Under Armour Kids' Highlight RM Football Clea,54.99,Soccer,32.99,15,46.74
22,2,Kijaro Dual Lock Chair,29.99,Soccer,17.99,10,26.99
23,2,Under Armour Men's Highlight MC Alter Ego Hul,139.99,Soccer,83.99,20,111.99
24,2,Elevation Training Mask 2.0,79.99,Soccer,47.99,15,67.99
25,3,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.98,Baseball & Softball,35.99,15,50.98
26,3,Nike Men's USA White Home Stadium Soccer Jers,90.0,Baseball & Softball,54.0,15,76.5
27,3,Nike Youth USA Away Stadium Replica Soccer Je,75.0,Baseball & Softball,45.0,15,63.75
28,3,adidas Brazuca 2014 Top Glider Soccer Ball,29.99,Baseball & Softball,17.99,10,26.99
29,3,Nike Men's USA Away Stadium Replica Soccer Je,90.0,Baseball & Softball,54.0,15,76.5
30,3,adidas Men's Germany Home Soccer Jersey,90.0,Baseball & Softball,54.0,15,76.5
31,3,Nike+ Fuelband SE,99.0,Baseball & Softball,59.4,15,84.15
32,3,PUMA Men's evoPOWER 1 Tricks FG Soccer Cleat,189.99,Baseball & Softball,113.99,20,151.99
33,3,adidas Brazuca 2014 Top Repliqu̩ Soccer Ball,39.99,Baseball & Softball,23.99,10,35.99
34,3,"Nike Women's Pro Core 3"" Compression Shorts",28.0,Baseball & Softball,16.8,10,25.2
35,3,adidas Brazuca 2014 Official Match Ball,159.99,Baseball & Softball,95.99,20,127.99
36,3,adidas Men's Germany Black/Red Away Match Soc,90.0,Baseball & Softball,54.0,15,76.5
37,3,adidas Kids' F5 Messi FG Soccer Cleat,34.99,Baseball & Softball,20.99,10,31.49
39,3,Nike Women's Pro Victory Compression Bra,21.99,Baseball & Softball,13.19,10,19.79
40,3,Quik Shade Summit SX170 10 FT. x 10 FT. Canop,199.99,Baseball & Softball,119.99,20,159.99
41,3,adidas Men's Mexico Home Soccer Jersey,90.0,Baseball & Softball,54.0,15,76.5
42,3,adidas Kids' F10 Messi TRX FG Soccer Cleat,44.99,Baseball & Softball,26.99,10,40.49
43,3,Kijaro Dual Lock Chair,29.99,Baseball & Softball,17.99,10,26.99
44,3,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99,Baseball & Softball,35.99,15,50.99
45,3,adidas Men's F10 Messi FG Soccer Cleat,59.99,Baseball & Softball,35.99,15,50.99
46,3,Quest 12' x 12' Dome Canopy,149.99,Baseball & Softball,89.99,20,119.99
47,3,Nike Women's Pro Hyperwarm Fitted Tights,24.97,Baseball & Softball,14.98,10,22.47
48,3,adidas Brazuca Final Rio Official Match Ball,159.99,Baseball & Softball,95.99,20,127.99
49,4,Diamondback Adult Sorrento Mountain Bike 2014,299.98,Basketball,179.99,20,239.98
50,4,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.98,Basketball,35.99,15,50.98
51,4,MAC Sports Collapsible Wagon,69.99,Basketball,41.99,15,59.49
52,4,Easton Mako Youth Bat 2014 (-11),249.97,Basketball,149.98,20,199.98
53,4,adidas Brazuca 2014 Top Glider Soccer Ball,29.99,Basketball,17.99,10,26.99
54,4,Nike+ Fuelband SE,99.0,Basketball,59.4,15,84.15
55,4,adidas Brazuca 2014 Top Repliqu̩ Soccer Ball,39.99,Basketball,23.99,10,35.99
56,4,Fitbit Flex Wireless Activity & Sleep Wristba,99.95,Basketball,59.97,15,84.96
57,4,"Nike Women's Pro Core 3"" Compression Shorts",28.0,Basketball,16.8,10,25.2
58,4,Diamondback Boys' Insight 24 Performance Hybr,299.99,Basketball,179.99,20,239.99
59,4,adidas Brazuca 2014 Official Match Ball,159.99,Basketball,95.99,20,127.99
60,4,SOLE E25 Elliptical,999.99,Basketball,599.99,20,799.99
61,4,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.99,Basketball,179.99,20,239.99
62,4,Easton XL1 Youth Bat 2014 (-10),179.97,Basketball,107.98,20,143.98
63,4,Fitness Gear 300 lb Olympic Weight Set,209.99,Basketball,125.99,20,167.99
64,4,Nike Women's Pro Victory Compression Bra,21.99,Basketball,13.19,10,19.79
65,4,Quik Shade Summit SX170 10 FT. x 10 FT. Canop,199.99,Basketball,119.99,20,159.99
66,4,SOLE F85 Treadmill,1799.99,Basketball,1079.99,20,1439.99
67,4,Kijaro Dual Lock Chair,29.99,Basketball,17.99,10,26.99
68,4,Diamondback Adult Outlook Mountain Bike 2014,309.99,Basketball,185.99,20,247.99
69,4,Easton S1 Youth Bat 2014 (-12),179.97,Basketball,107.98,20,143.98
70,4,Elevation Training Mask 2.0,79.99,Basketball,47.99,15,67.99
71,4,Diamondback Adult Response XE Mountain Bike 2,349.98,Basketball,209.99,20,279.98
72,4,Quest 12' x 12' Dome Canopy,149.99,Basketball,89.99,20,119.99
73,5,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.98,Lacrosse,35.99,15,50.98
74,5,"Goaliath 54"" In-Ground Basketball Hoop with P",499.99,Lacrosse,299.99,20,399.99
75,5,"Nike Women's Pro Core 3"" Compression Shorts",28.0,Lacrosse,16.8,10,25.2
76,5,Jordan Men's VI Retro TD Football Cleat,134.99,Lacrosse,80.99,20,107.99
77,5,Schutt Youth Recruit Hybrid Custom Football H,99.99,Lacrosse,59.99,15,84.99
78,5,Nike Kids' Grade School KD VI Basketball Shoe,99.99,Lacrosse,59.99,15,84.99
79,5,Fitness Gear 300 lb Olympic Weight Set,209.99,Lacrosse,125.99,20,167.99
80,5,Nike Women's Pro Victory Compression Bra,21.99,Lacrosse,13.19,10,19.79
81,5,Quik Shade Summit SX170 10 FT. x 10 FT. Canop,199.99,Lacrosse,119.99,20,159.99
82,5,Kijaro Dual Lock Chair,29.99,Lacrosse,17.99,10,26.99
83,5,Elevation Training Mask 2.0,79.99,Lacrosse,47.99,15,67.99
84,5,Nike Men's KD VI Basketball Shoe,129.99,Lacrosse,77.99,20,103.99
85,5,Nike Kids' Grade School LeBron XI Basketball ,139.99,Lacrosse,83.99,20,111.99
86,5,Quest 12' x 12' Dome Canopy,149.99,Lacrosse,89.99,20,119.99
